Name,Extracted_name,Value,Raw_unit,Type
Cobalt sulfide,"[{'Co': '2.0', 'S': '3.0'}]",22.7,Whkg−1,None
Nickel sulfides,"[{'Ni': '2.0', 'S': '3.0'}]",6.37,Whkg−1,None
Fe3O4 @ GNS,"[{'Fe': '3.0', 'O': '4.0'}]",401.97948718,Wh/kg,None
LiCoO2 / C,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}, {'C': '1.0'}]",380,Whkg−1,None
Li3−xNaxV2(PO4)3 / C,"[{'P': '3.0', 'O': '12.0', 'Li': '3-x', 'Na': 'x', 'V': '2.0'}, {'C': '1.0'}]",478.8,Whkg−1,None
TiO2(B),"[{'B': '1.0', 'Ti': '1.0', 'O': '2.0'}]",41.15,Whkg-1,None
Li1.05Al0.1Mn1.85O3.95F0.05,"[{'Li': '1.05', 'Al': '0.1', 'Mn': '1.85', 'O': '3.95', 'F': '0.05'}]",438.6,Wh/kg,None
Fe3O4 / CuO,"[{'Fe': '3.0', 'O': '4.0'}, {'Cu': '1.0', 'O': '1.0'}]",1620.1,Wh/kg,None
Cu / C,"[{'Cu': '1.0'}, {'C': '1.0'}]",658.065,Wh/kg,None
Au / C,"[{'Au': '1.0'}, {'C': '1.0'}]",2000,Whkg−1,None
Li2VO3,"[{'Li': '2.0', 'V': '1.0', 'O': '3.0'}]",632.43461538,Wh/kg,None
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",450,Whkg−1,None
Co3O4 / CNT,"[{'Co': '3.0', 'O': '4.0'}]",638.74833333,Wh/kg,None
H2SO4,"[{'H': '2.0', 'S': '1.0', 'O': '4.0'}]",21.6,Whkg−1,None
Mn2SnO4,"[{'Mn': '2.0', 'Sn': '1.0', 'O': '4.0'}]",30.4,Whkg−1,None
Li / O2,"[{'Li': '1.0'}, {'O': '2.0'}]",400,Whkg−1,None
Cr3O8,"[{'Cr': '3.0', 'O': '8.0'}]",1800,Wh/kg,None
MnO2,"[{'Mn': '1.0', 'O': '2.0'}]",30,Whkg−1,None
Li0.33MnO2 / AC,"[{'Li': '0.33', 'Mn': '1.0', 'O': '2.0'}]",7,Whkg−1,None
Ti2S4,"[{'Ti': '2.0', 'S': '4.0'}]",202,Wh/kg,None
LiCoxMnyNi1−x − yO2,"[{'Li': '1.0', 'Co': 'x', 'Mn': 'y', 'Ni': '-x-y+1', 'O': '2.0'}]",698.66666667,Wh/kg,None
Li3.94Cr0.02Zr0.06Si0.94O4,"[{'Li': '3.94', 'Cr': '0.02', 'Zr': '0.06', 'Si': '0.94', 'O': '4.0'}]",432.6,Wh/kg,None
V2O5,"[{'V': '2.0', 'O': '5.0'}]",178,Whkg−1,None
HN-LVP @ C,"[{'H': '1.0', 'N': '1.0'}, {'C': '1.0'}]",562.44,Wh/kg,None
Li1.67VO2F,"[{'Li': '1.67', 'V': '1.0', 'O': '2.0', 'F': '1.0'}]",455,Wh/kg,None
FeS2 / carbon,"[{'Fe': '1.0', 'S': '2.0'}]",320.4855,Wh/kg,None
MnCo2O4 / C,"[{'Mn': '1.0', 'Co': '2.0', 'O': '4.0'}, {'C': '1.0'}]",2340,Wh/kg,None
Sn0.4Ge0.6S,"[{'Sn': '0.4', 'Ge': '0.6', 'S': '1.0'}]",1291.5,Wh/kg,None
