Name,Extracted_name,Value,Raw_unit,Type
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.3,Vvs.Li,Cath
Li2NaV2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '2.0', 'Na': '1.0', 'V': '2.0'}]",1,V,Anod
CNT / CoS @ C,"[{'Co': '1.0', 'S': '1.0', 'C': '1.0'}]",3,V,Anod
MnO,"[{'Mn': '1.0', 'O': '1.0'}]",1,V,Cath
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",5,V,Cath
Na0.67Mn0.65Ni0.2Co0.15O2,"[{'Na': '0.67', 'Mn': '0.65', 'Ni': '0.2', 'Co': '0.15', 'O': '2.0'}]",4.2,V,Cath
NaxFe0.3Co0.7O2 six,"[{'Na': 'x', 'Fe': '0.3', 'Co': '0.7'}]",3.6,V,Cath
Li1.05Mn1.96O4,"[{'Li': '1.05', 'Mn': '1.96', 'O': '4.0'}]",4,V,Cath
FeS2,"[{'Fe': '1.0', 'S': '2.0'}]",1.7,V,Anod
LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",3.3,V,Cath
S / C,"[{'S': '1.0'}, {'C': '1.0'}]",2.04,V,Cath
LiFePO4 / C,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}, {'C': '1.0'}]",2,V,Cath
Cu2Se,"[{'Cu': '2.0', 'Se': '1.0'}]",0.2,V,Cath
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4,VvsLi,Cath
Li4Ti5O12,"[{'Li': '4.0', 'Ti': '5.0', 'O': '12.0'}]",2.3,V,Anod
Sn / Na2Sn(PO4)2,"[{'Sn': '1.0'}, {'P': '2.0', 'O': '8.0', 'Na': '2.0', 'Sn': '1.0'}]",0.59,V,Anod
LiNi0.5Mn1.5O4,"[{'Li': '1.0', 'Ni': '0.5', 'Mn': '1.5', 'O': '4.0'}]",5,V,Cath
LiCoO2,"[{'Li': '1.0', 'Co': '1.0', 'O': '2.0'}]",4.2,V,Cath
V2O5,"[{'V': '2.0', 'O': '5.0'}]",3.8,V,Cath
LiNa2V2(PO4)3,"[{'P': '3.0', 'O': '12.0', 'Li': '1.0', 'Na': '2.0', 'V': '2.0'}]",3,V,Anod
AlN,"[{'Al': '1.0', 'N': '1.0'}]",0.65,V,Anod
V2O5âB2O3,"[{'V': '2.0', 'O': '5.0'}]",3.5,V vs Li,Cath
Sb2Se3,"[{'Sb': '2.0', 'Se': '3.0'}]",0.05,Vvs.K+,Anod
LiNi0.5Co0.2Mn0.3O2,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.2', 'Mn': '0.3', 'O': '2.0'}]",3,Vvs.Li,Cath
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.4,VversusL,Cath
SIB,"[{'S': '1.0', 'I': '1.0', 'B': '1.0'}]",4,V,Cath
Iron fluoride,"[{'Fe': '1.0', 'F': '3.0'}]",4.5,V,Cath
Polypyrrole,"[{'C': '4.0', 'H': '3.0', 'N': '1.0'}]",0.78,V,Cath
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",2.5,V,Cath
LiFePO4,"[{'Li': '1.0', 'Fe': '1.0', 'P': '1.0', 'O': '4.0'}]",3.4,Vvs.Li+,Cath
CoCO3,"[{'Co': '1.0', 'C': '1.0', 'O': '3.0'}]",0.96,V,Anod
LiNi0.5Co0.5O2,"[{'Li': '1.0', 'Ni': '0.5', 'Co': '0.5', 'O': '2.0'}]",5,V,Cath
CuO-CF,"[{'Cu': '1.0', 'O': '1.0'}]",3,V,Anod
